Model,Cycle Occurrences
product.product,1872
res.company,1251
res.partner,1176
mail.thread,1172
account.move,966
product.template,909
sale.order,786
project.task,741
res.users,588
stock.picking,408
hr.employee,402
account.tax.template,390
hr.contract,363
delivery.carrier,345
account.move.line,336
purchase.order,276
event.event,276
mrp.workorder,273
crm.lead,267
helpdesk.ticket,258
project.project,225
mailing.mailing,222
rma.expected_delivery,213
stock.move.line,204
hr.applicant,171
calendar.event,165
purchase.order.line,156
helpdesk.team,141
event.sponsor,141
hr.payslip,126
account.analytic.line,123
account.tax,123
website.visitor,123
hr.leave,123
hr.job,120
crm.team,120
ir.model.fields,111
mail.channel,102
ir.actions.server,99
gamification.badge,99
mrp.workcenter,90
ir.ui.view,87
stock.location,87
hr.attendance,84
res.country,78
sign.request,78
mail.template,78
event.registration,75
sign.template,72
calendar.recurrence,72
ir.model,66
product.public.category,66
fetchmail.server,63
event.type,63
stock.scrap,60
ir.actions.act_window,57
base.automation,54
ir.actions.report,54
res.currency,51
im_livechat.channel,51
report.paperformat,51
coupon.program,48
account.debit.note,45
payment.token,45
note.note,45
res.bank,42
account.invoice.send,42
product.template.attribute.value,42
res.groups,39
ir.ui.menu,36
mailing.contact,30
ir.filters,27
ir.mail_server,27
ir.rule,27
calendar.attendee,24
ir.default,24
ir.model.access,24
event.track.visitor,21
ir.actions.act_window.view,15
ir.actions.todo,12
test_new_api.display,3
